; Gridding Rules for AHK function Win__Gridder()
;N     C   R      X   Y      W   H
1      1   1      1   1      1   1
2      2   2      1   1      1   2
2      2   2      2   1      1   2
3      2   2      1   1      1   2
3      2   2      2   1      1   1
3      2   2      2   2      1   1
4      2   2      1   1      1   1
4      2   2      1   2      1   1
4      2   2      2   1      1   1
4      2   2      2   2      1   1
5      2   2      1   1      1   1
5      2   2      2   1      1   1
5      3   2      1   2      1   1
5      3   2      2   2      1   1
5      3   2      3   2      1   1
6      3   2      1   1      1   1
6      3   2      2   1      1   1
6      3   2      3   1      1   1
6      3   2      1   2      1   1
6      3   2      2   2      1   1
6      3   2      3   2      1   1
